time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro 
1,-0.31543607,9.623494,-0.4758476,-0.004276057,0.015271631,-0.082161374 
2,-0.11911154,9.753379,-0.5093664,-0.015271631,0.015577064,0.0106901415 
3,0.17896658,10.169372,-0.51116204,0.055588737,0.04917465,0.09193522 
4,-0.065242,9.837176,-0.86849666,0.10293079,0.050396383,0.038179077 
5,0.075417355,9.703699,-0.9475053,0.22968534,0.027794369,0.005192355 
6,0.0017956513,9.797672,-1.1474211,0.10140363,0.022602014,-0.070554934 
7,-0.35673606,9.672575,-1.0145429,0.1554652,0.0018325958,-0.09193522 
8,-0.34955344,9.615712,-1.1785458,0.10629055,0.0125227375,-0.01282817 
9,-0.002992752,9.602545,-1.0833763,-0.027794369,0.058643065,0.11636983 
10,0.25438392,9.77373,-1.2671312,-0.03145956,0.032070424,0.105068825 
11,-0.260968,9.7007065,-1.2126632,-0.077579886,0.025961773,0.013744468 
12,-0.06584055,9.727043,-1.3245921,-0.103847094,-0.016798794,0.008246681 
13,0.18495208,9.7563715,-1.2653356,-0.024740042,-0.062002823,-0.002443461 
14,0.19871874,9.631275,-0.7745243,-0.1255328,-0.002443461,-0.032986723 
15,0.022146367,9.838373,-0.88166475,-0.004581489,-0.015577064,-0.0106901415 
16,0.46088383,9.892841,-0.9660604,0.016493361,-0.030543262,-0.080634214 
17,0.2112883,9.713276,-0.97503865,0.102319926,-0.03726278,-0.12644911 
18,-0.6715736,9.528324,-0.93732995,0.14966199,0.00580322,-0.15393804 
19,-0.10474633,9.885659,-1.5053543,0.20647246,0.022602014,-0.04550946 
20,-0.37349546,9.725846,-1.6741456,0.20769419,0.025961773,-0.062308256 
21,-0.19871874,9.680955,-1.8261774,0.09193522,0.04520403,0.06658431 
22,0.17537527,9.796474,-1.6765398,-0.023518313,0.04062254,0.038179077 
23,-0.092775315,9.81922,-1.6011224,-0.11178834,-0.0061086523,-0.105374254 
24,0.26396075,9.98442,-1.4317327,-0.13622294,-0.011301007,0.095294975 
25,0.19692309,9.873089,-1.4927847,-0.062308256,0.0070249503,0.10262536 
26,0.050876785,9.639056,-1.1085154,-0.0580322,0.032375857,0.008246681 
27,-0.14963761,9.651626,-1.2773066,-0.022602014,-0.01985312,0.013133603 
28,-0.022744916,9.655217,-1.1791444,-0.06536258,-0.007941248,-0.030848695 
29,-0.049679685,9.883265,-1.292869,0.004886922,-0.051923547,-0.100792766 
30,-0.37349546,9.441534,-1.0546459,0.07727446,0.002443461,-0.12034045 
31,-0.4165911,9.988011,-1.8387469,-0.0036651916,0.038179077,0.04886922 
32,0.45489833,10.222044,-2.154183,0.23732115,-0.12186762,-0.02443461 
33,-0.39085343,9.546281,-1.7423803,0.23915374,-0.058948494,-0.23487769 
34,-0.15083471,10.366295,-2.556409,0.41325033,-0.01863139,-0.44532076 
35,3.9384618,16.019005,-2.2146366,0.09560041,-0.3408628,-2.0176878 
36,-2.244564,19.608511,-2.2559366,0.29993483,-0.9786061,-8.720407 
37,12.907142,10.256162,1.0378864,-0.20586158,-2.1762075,0.010995574 
38,3.5859156,2.939481,-1.0803835,0.43035457,-0.7104363,7.5557923 
39,-19.60911,13.6888485,3.819949,1.920255,-0.7877107,5.7696223 
40,14.600441,0.20829555,19.533693,-3.8545597,0.8686504,-1.135904 
41,5.207389,19.124884,-1.7764976,0.43004912,-0.07086037,-1.1798862 
42,-12.16434,19.608511,-9.620501,-0.675617,-1.2712106,-9.998642 
43,-3.888782,19.608511,-1.9195513,-1.4581354,0.5015204,-3.6254852 
44,5.3444567,-0.22804771,-2.393603,-0.97035944,-0.38240165,0.29016098 
45,7.638102,6.4547677,-4.2981906,2.2131648,-1.1010846,9.85234 
46,-19.60911,19.083584,2.1134815,1.8191566,3.2388074,9.370978 
47,-8.664018,-19.608511,19.519327,-6.3798766,1.38025,-8.916189 
48,8.727464,19.608511,0.3345897,0.26725355,-0.37384954,-1.2379184 
49,-13.378201,18.844164,-6.2584434,-1.044885,-1.6978999,-10.04293 
50,2.594716,19.608511,-6.1848216,-1.6936239,-0.09682214,-5.0607133 
51,6.413468,-4.168904,-1.3652935,-1.1123856,0.72418076,0.70921457 
52,9.991004,6.2620344,-6.005855,1.0906999,-1.2660183,9.959242 
53,-19.479824,19.608511,3.1453824,4.3346996,-0.41813725,9.718866 
54,-19.60911,19.0764,17.809868,-5.7619863,0.34788775,-9.270797 
55,3.448249,19.608511,-2.0189106,0.4615087,-0.9388999,-1.7385225 
