time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro
0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.88705170,9.719860,0.0155623110,0.0161879290,0.0045814890,-0.07269296
20,1.02711250,9.8072490,-0.0784101040,0.137444670,0.01252273750,-0.016187929
30,0.92356330,9.7731310,-0.47824180,0.21716260,0.020769420,-0.004886922
40,0.963067650,9.7336270,-0.63925180,0.211359380,0.054977870,0.04337143
50,0.884058950,9.7970730,-0.76853880,0.296269660,0.0177150930,-0.1142318
60,0.64224460,9.7420060,-1.23959790,0.372933240,0.034819320,-0.1637118
70,0.532111350,9.7635550,-1.30304430,0.228158180,0.068722340,-0.10262536
80,0.50338090,9.7042980,-1.80462960,0.216246290,0.1096503140,0.031154128
90,0.526125850,9.6773630,-1.99975690,0.183259580,0.053756140,0.053145275
100,0.602141740,9.7108820,-2.18590620,0.116369830,0.0054977870,-0.063224554
110,0.210689750,9.6234940,-1.97641350,-0.0189368220,-0.0308486950,-0.07941248
120,0.3501520,9.600150,-1.9889830,-0.0531452750,0.0140499010,-0.013133603
130,0.323217240,9.591770,-1.91416430,-0.0644462850,0.0262672060,0.0729984
140,0.500388150,9.6558150,-1.81959330,-0.145691370,-6.1086525E-40,0.10445796
150,0.74040690,9.7042980,-1.51672670,-0.273973050,-0.0387899430,0.06688975
160,0.939724150,9.8036580,-1.34254860,-0.379652740,-0.081550510,-0.03145956
170,0.810437260,10.071210,-1.04147770,-0.459370670,-0.150272850,-0.108123146
180,0.577601130,9.8886520,-1.12707040,-0.271529610,-0.436768650,-0.27885997
190,-2.54324080,9.18296050,-4.65612360,0.123394780,-1.595580,-0.4746423
200,2.11467860,9.2428160,0.60393740,0.71990470,-4.09004830,0.08155051
210,2.0661960,10.9726270,2.32776260,0.35552360,-1.9330830,0.183565
220,-2.75033930,10.3333750,0.60393740,0.133168620,-0.0305432620,-0.33536503
230,-1.80762230,9.8790750,-0.69132570,-0.212886540,-1.41568020,-0.27885997
240,-0.93314010,9.0662430,-1.86448450,-0.313373860,-0.84024510,-0.49235737
250,-2.1194670,6.8234750,-1.68013110,0.033597590,-1.17774820,-0.4822781
260,3.31716660,9.5839890,-3.19625930,0.55161130,-1.01495270,0.7791586
270,1.40779050,10.0071650,2.16316130,-0.07208210,-0.388815730,0.57543504
280,0.7296330,10.409390,-1.83874690,0.109039450,0.127976270,0.20922135
290,0.514753340,9.8557310,-1.14083710,0.263282920,0.137139250,0.052534413
300,0.398036030,9.6408520,-1.13844290,0.278859970,0.11606440,0.020158553
310,0.599747540,9.7348240,-1.73819040,0.303905460,0.0448985960,0.0580322
320,0.661398230,9.6695820,-2.01771350,0.215635430,0.0161879290,0.01863139
330,0.7003040,9.6121220,-2.02070620,0.127670840,-0.0091629780,0.025961773
340,0.69910690,9.6109240,-2.04524680,0.089797190,-0.0064140850,6.1086525E-4
350,0.667383730,9.5803990,-2.09911630,0.0717766660,3.0543262E-40,0.012217305
360,0.74938510,9.588180,-2.21224240,0.055894170,0.00763581550,-0.0015271631
370,0.796072070,9.608530,-2.24635980,0.048869220,0.0113010070,-0.0070249503
380,0.68593880,9.530120,-2.20386270,0.05803220,0.01252273750,-0.005497787
390,0.868496660,9.6366620,-2.45285960,0.046425760,-0.00122173050,-0.01282817
400,0.69192430,9.5642380,-2.30501770,-0.043371430,-0.00305432620,-0.045814894
410,0.854730,9.6354650,-2.39599730,-0.031764990,-0.0213802830,0.0030543262
420,0.68713590,9.6079310,-2.28706120,-0.0485637860,-0.0140499010,-0.06719518
430,0.68055180,9.5845880,-2.07337860,-0.0552833040,0.00335975880,-0.0143553335
440,0.7481880,9.6157120,-2.10210920,-0.069638640,0.0113010070,-0.005192355
450,0.69731120,9.6420490,-2.0434510,-0.119424160,0.0122173050,-0.01038471
460,0.73801270,9.6929250,-1.84173970,-0.157908660,-0.00213802840,-0.013133603
470,0.70628950,9.6971160,-1.67773690,-0.224798410,-0.005803220,-0.009773844
480,0.874482150,9.8467530,-1.53468330,-0.25564710,-0.021074850,0.002443461
490,0.942118350,10.1424370,-0.93792850,-0.16004670,-0.166460780,-0.23090707
500,1.180940,10.6021230,-0.91877490,-0.182037850,0.041538840,-0.6462954
510,-0.2076970,9.798270,-0.28730420,-0.444404450,0.614835860,-0.8848383
520,1.01214870,8.3970640,-0.231040460,-0.530231060,0.85032440,-0.55863625
530,-0.150834710,8.5903960,-2.12006570,0.0192422550,2.41475030,0.03970624
540,-0.350750540,9.6881370,-1.5137340,-0.16004670,0.90927290,0.86529064
550,-0.56144030,10.2813010,-1.49936880,0.1023199260,1.22234130,0.636827
560,-2.4295160,9.6606040,-1.92733240,-0.00366519160,1.36375670,0.38606682
570,-0.49500120,9.10335350,-0.155623110,0.133474050,0.51037790,0.03634648
580,-1.1342530,9.1392660,-1.14382980,0.191200820,0.58215460,0.2593123
590,10.7697180,12.3630590,0.842160460,-0.055894170,-0.406225380,0.9089675
600,0.544082340,9.7857010,-1.69808760,0.199142070,-0.061697390,-0.10995574
610,1.04866040,9.686940,-0.936132850,0.195476870,0.037262780,-0.010995574
620,0.93792850,9.6163110,-1.26353990,0.262977480,0.017409660,-0.025961773
630,0.916979250,9.6707790,-1.80522810,0.27733280,0.0201585530,-0.03268129
640,0.91757780,9.6731730,-2.10151050,0.192727980,0.0091629780,-0.043066
650,0.843357560,9.6216980,-2.20625690,0.14324790,0.0201585530,-0.01282817
660,0.973841550,9.6133180,-2.3283610,0.087353730,0.0329867230,-0.019242255
670,0.913387950,9.5690260,-2.1194670,0.0531452750,0.0109955740,-0.01985312
680,0.92116910,9.5750110,-2.40258150,0.101403630,-0.0051923550,-0.0067195175
690,1.21206460,9.6240920,-2.46602770,-0.0161879290,-0.0262672060,-0.042760566
700,0.77153150,9.5726170,-2.43011470,-0.0351247530,-0.01069014150,-0.061391957
710,0.74100540,9.5666310,-2.2355860,-0.080328780,0.0051923550,-0.07147124
720,0.66199680,9.558850,-2.09372950,-0.106290550,0.0299323960,-0.043066
730,0.67696050,9.550470,-2.0117280,-0.082466810,0.053756140,-0.014966198
740,0.84156190,9.6821520,-2.09133530,-0.137750120,0.036346480,0.020158553
750,0.827795270,9.6623990,-1.81241070,-0.198531210,0.0219911490,0.020463986
760,0.73142860,9.5959610,-1.47542680,-0.179288950,0.0262672060,0.019242255
770,0.94271690,9.7025020,-1.42395150,-0.145691370,0.039400810,0.07238753
780,1.04087910,9.7731310,-1.3593080,-0.192422550,0.0287106670,0.03634648
790,1.11928930,9.8796730,-1.11450090,-0.107206850,-0.136528390,-0.12217305
800,0.51774610,9.2553850,-0.649427240,-0.207694190,0.085826570,-0.0027488936
810,1.29825590,9.4415340,-0.105344880,-0.073609260,0.104152520,0.12675454
820,1.06601830,10.104130,-1.61429050,-0.0137444680,-0.00152716310,0.016187929
830,1.21206460,9.8401690,-0.71945760,-0.18631390,0.026878070,-0.009468411
840,1.02890810,9.7839050,-0.569221440,-0.223882110,0.0424551330,-0.021991149
850,1.12647190,9.4744550,0.158017310,-0.262672070,0.233655960,-0.010995574
860,1.0037690,9.4726590,0.216675250,-0.0586430650,0.201585530,-0.113926366
870,0.451905580,9.4205850,-0.313640420,0.067806040,0.0250454750,-0.064446285
880,1.24019650,9.4553010,0.07003040,0.181426970,-0.329867240,0.005497787
890,1.37487030,9.4672720,0.352546220,0.29321530,-0.119424160,-0.08307768
900,0.89483290,10.00297450,-1.27191960,0.178372650,-0.00366519160,0.058337633
910,1.15879360,9.7976720,-0.6643910,0.063529980,-0.024434610,-0.051923547
920,0.81462710,9.6707790,-0.800860460,0.063835420,-0.0293215330,-0.062308256
930,0.799663360,9.6671880,-0.82420390,0.110566610,0.0381790770,-0.042760566
940,0.75537060,9.7031010,-0.951096650,0.139582710,0.0760527250,-0.050396383
950,0.8786720,9.7066930,-1.29107330,0.156992360,0.074525560,-0.081855945
960,0.68354460,9.6857430,-1.341950,0.164017320,0.011606440,-0.03726278
970,0.68713590,9.6342680,-1.47901810,0.200669230,0.020769420,-0.014660766
980,0.68115040,9.5929680,-1.77949050,0.272751330,0.0409279730,0.040927973
990,0.908599560,9.6187060,-2.16495680,0.265420940,0.018631390,0.052534413
1000,0.860116960,9.6378590,-2.4869770,0.1007927660,-0.063835420,-0.032986723
1010,0.81223290,9.5660330,-2.3325510,0.0274889360,-0.068416910,-0.005192355
1020,0.861314060,9.5606460,-2.24635980,-0.00274889360,-0.0476474870,-0.0018325958
1030,1.03429510,9.4122060,-1.48679920,-0.0305432620,-0.037568210,-0.049480084
1040,0.74459670,9.4954040,-0.71526780,-0.272140470,-0.106290550,-0.15821409
1050,0.69072720,9.728240,-2.54802920,-0.0806342140,-0.0387899430,-0.10445796
1060,0.426766460,9.6193040,-2.28526540,-0.078190750,-0.0436768640,-0.11759156
1070,0.454299780,9.670180,-2.06140760,-0.104457960,-0.036346480,-0.06658431
1080,0.333991140,9.6384570,-1.87645550,-0.135306660,-0.0354301850,-0.040011674
1090,0.283114340,9.6737720,-1.89920040,-0.193949710,-0.0412334050,0.014049901
1100,0.63027360,10.0035730,-1.80881940,-0.336586740,-0.0876591650,-0.002443461
1110,0.26695350,9.649830,-0.784101070,-0.225409270,-0.24342980,-0.15057829
1120,0.42856210,10.223840,-0.9439140,-0.233961390,-0.430354570,-0.2959642
1130,-1.07559510,9.6809550,-2.11408020,-0.120645890,-0.790459630,-0.5549711
1140,-1.18931970,9.52533150,-1.78427890,-0.0427605660,-1.82098930,-0.35063666
1150,-0.71287360,9.5049810,-2.14400770,0.140804440,-2.76996850,-0.14966199
1160,0.72005620,9.728240,-1.47063840,0.368962620,-3.57050730,-0.01740966
