time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro 
0,0.0,0.0,0.0,0.0,0.0,0.0 
10,-0.34775780,10.2088760,-0.38905780,0.0073303830,0.0216857160,-0.054367006 
20,-0.77811560,9.6324720,-0.152031810,0.261450320,0.065668020,-0.04153884 
30,-0.799663360,9.6857430,-0.42616790,0.240070040,0.178067220,-0.026572637 
40,-0.31723170,9.612720,-0.372298360,0.30512720,0.0717766660,-0.038179077 
50,-1.25097040,9.6013470,-0.96606040,0.310319540,0.0620028230,-0.11209377 
60,-1.09654440,9.3529490,-1.30005160,0.53908860,-0.126449110,-0.14966199 
70,-1.08577050,9.7821090,-2.39719440,0.665232240,-0.129808860,-0.40286562 
80,-1.83934550,9.5325140,-2.43011470,0.718377530,-0.1007927660,-0.6072 
90,-1.9171570,10.1286710,-4.34068780,0.688445150,-0.315817330,-0.95386606 
100,5.44082360,14.9236570,-2.23977570,1.2015720,-0.91110550,-3.182608 
110,-7.1772180,11.88960550,-10.2100730,2.9327640,-2.37870930,-5.0045137 
120,2.4989480,3.00711730,-0.383670840,-0.141720740,-2.38237450,2.9364293 
130,-0.550067840,9.9245640,-4.64953950,-0.372933240,1.1536190,4.670065 
140,-4.29459950,15.9603470,-7.19397740,-0.149661990,2.08366130,4.1532726 
150,-17.2328640,10.8888290,0.77332720,0.87445360,-0.232434230,2.490803 
160,-19.609110,1.70527020,6.1632740,-2.12978170,1.60138320,-4.1419716 
170,-4.46339040,9.3200280,-2.27209730,0.250454750,-0.155770640,-0.2556471 
180,-2.3151930,9.4732580,-1.44250660,0.180510680,-0.0164933610,-0.28221974 
190,-2.73717120,8.7113030,-1.40120650,0.159435820,-0.309097830,-0.57940567 
200,-2.6174610,9.7629560,-1.70586870,0.025656340,-0.314901020,-0.5555819 
210,0.4926070,14.85901450,-2.69706820,-0.157603230,-0.631634650,-2.1401663 
220,-7.3741410,17.0754470,-4.2568910,-0.471587960,-1.06657080,-7.047552 
230,4.44244150,1.00975450,-0.106541980,-0.159435820,-0.370184330,2.7186558 
240,-0.82300680,6.78277350,-0.87268650,0.17043140,1.65788830,5.5100045 
