time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro 
00,0.00,0.00,0.00,0.00,0.00,0.0 
10,-1.46704710,2.66714070,8.6520460,0.049174650,0.075136420,-0.1337795 
20,-3.23995350,-0.90560680,4.57831240,1.12979530,6.8801750,-1.9031507 
30,-3.6840780,-2.7796680,-5.22414830,0.90774580,8.3572470,-2.5149322 
40,-7.17661950,-3.97377630,1.8824410,-1.98073050,-2.19453330,-2.364354 
50,-12.2385610,-7.66144560,-1.32578920,1.89856920,0.828333260,-3.6325102 
60,-11.5795560,-7.77457140,-3.64996050,0.019853120,1.29381260,-3.2971451 
70,-9.2434140,-8.0660660,-4.53521630,-0.166155350,2.62336090,-2.4291058 
80,-5.7089740,-9.6354650,-8.1983450,-0.094378680,3.06715440,-1.6517797 
90,-0.903811160,-10.0041710,-4.1288010,0.096822140,2.56746670,-0.28924468 
100,-1.78846870,-10.5548380,-6.46973130,-1.30450270,0.67744960,-0.37690386 
110,-0.0748188050,-3.37402870,-4.1724950,-1.70034340,-0.281608880,-0.095294975 
120,2.11767150,-8.2737630,-9.162610,0.846353770,0.55802540,0.4370741 
130,1.07200380,-9.5624420,-5.6934120,0.260534020,-0.236404850,0.37843102 
140,-0.421978060,-9.7455980,-13.3799960,0.791681350,-0.51129420,0.90010995 
150,-0.73861120,-9.7066930,-5.11401460,1.0448850,0.983493030,0.35827246 
160,-1.50714990,-8.9249850,-4.93385120,0.0045814890,-0.0647517140,-0.48349985 
170,-2.22541050,-10.0706110,-4.48374130,0.69638640,-0.197614910,-0.16615535 
180,-2.67133050,-7.9894510,-4.78181930,0.104152520,-0.063529980,3.467882 
190,-2.16256260,-6.91325760,-4.5549690,-0.094684120,-0.68142020,-0.10140363 
200,-3.29681560,-11.7872530,-4.2353430,1.67071640,-0.667981150,-1.1050552 
210,-7.69077440,-8.2198930,-2.98736520,-0.287106660,0.068416910,-2.293188 
220,-2.55162050,-11.4329120,-1.94528890,0.63652160,0.72815140,-1.0965031 
230,-1.07379950,-11.5310740,-2.33554390,0.383317950,0.3445280,-0.02443461 
240,-1.18333420,-9.1883480,-2.34152940,-0.268475260,0.207694190,1.9071213 
250,-2.1900960,-9.393650,-1.73459910,0.0818559450,-0.0806342140,-0.34055737 
260,-1.79984120,-9.1009590,-2.8610710,-0.298713120,-0.142942470,-0.030848695 
270,-2.01531930,-9.170990,-2.18411040,0.155159770,0.078801620,-0.14508049 
280,-1.82917010,-5.80294660,-2.0195090,0.52228980,-0.28649580,-0.172264 
290,-0.21128830,-10.5135380,-1.34314720,0.259006860,-0.509767060,-1.2858714 
300,-0.492008450,-9.5983540,-2.13742350,-0.28374690,0.34910950,0.3323107 
310,-2.81498270,-7.60817430,-1.82318460,-0.0192422550,0.8909470,0.7877107 
320,-1.05823720,-11.7130340,-2.88980150,0.476780330,0.634383560,-1.187522 
330,0.0550666380,-9.5959610,-1.99915840,0.0775798860,-0.309708680,-1.7913623 
340,3.15495920,-11.9033730,-1.39821370,0.123089340,-0.51373770,-1.171945 
350,1.70407310,-10.0813850,-2.32955840,-0.191811680,-0.216246290,0.87017757 
360,0.98042560,-9.07941150,-3.1938650,0.226020140,-0.082772240,-0.06811147 
370,1.56939920,-9.819220,-1.87825120,0.0091629780,0.096211280,-0.01038471 
380,0.524928750,-9.6468370,-2.62763640,0.0195476880,-0.0482583530,0.029626964 
390,1.16418050,-9.46966650,-2.50134230,0.068722340,-0.214719130,-0.069027774 
400,1.54426010,-9.46966650,-2.0596120,0.0366519130,-0.137139250,-0.071776666 
410,1.7268180,-9.5109660,-2.14700030,0.005803220,-0.0934623850,-0.016798794 
420,1.41916310,-9.6210990,-2.02729030,0.0192422550,-0.005803220,-0.004886922 
430,1.76871650,-9.4822360,-2.1236570,0.081550510,-0.187841060,-0.10629055 
440,2.31878420,-10.6518030,-2.01292510,0.0470366250,0.0280998010,0.48197266 
450,2.403180,-9.4792430,-2.02669170,0.0647517140,-0.15180,-0.1414153 
460,0.69371990,-8.0139910,-1.69210210,-0.0152716310,-0.340251950,-0.61422503 
470,1.21745160,-10.9085820,-2.08953950,0.362548530,-0.53908860,-0.3304781 
480,2.67911170,-8.0840220,-2.2355860,0.082466810,0.134084930,0.036957346 
490,1.98539170,-8.7119020,-1.75674550,0.102930790,0.096822140,0.035430185 
500,2.47680160,-9.5271270,-1.78128610,-0.124616510,0.1609630,-0.2611449 
510,2.17992070,-10.3285870,-1.58137020,0.00152716310,0.063529980,-0.07452556 
520,2.44687410,-11.4035830,-2.04704240,-0.0748309940,0.330172660,-0.41263947 
530,3.1459810,-9.2745390,-1.94349320,-0.026878070,0.0534507070,0.01160644 
540,1.27371530,-9.3140430,-2.35170460,-0.0088575460,0.109344880,-0.07941248 
550,2.6533740,-9.6402530,-2.1781250,-0.065362580,-0.0250454750,0.07727446 
560,3.22319410,-9.7156710,-2.46782350,-0.118813290,-0.0467311930,0.106901415 
570,2.6066870,-9.3703070,-2.06499890,-0.005803220,0.094684120,0.012217305 
580,2.6336220,-9.6444430,-1.65798470,0.0369573460,0.020769420,0.045814894 
590,3.07475350,-9.6055370,-1.8692730,0.076969020,0.135917510,0.027183503 
600,2.20924970,-9.6264870,-2.03626850,-0.0387899430,0.284968640,0.017104227 
610,2.22660760,-9.5720190,-2.13862060,0.0149661980,0.0342084540,-0.015882496 
620,2.5815480,-9.5151560,-1.63583830,-0.0345138870,0.024434610,0.010995574 
630,2.12305830,-9.8359790,-1.86987150,-0.050090950,0.0412334050,-0.03726278 
640,2.33554390,-9.530120,-2.05362650,-0.0247400420,0.1038470940,-3.0543262E-4 
650,2.39001180,-9.6091290,-1.64361940,-0.081245080,0.0177150930,0.064446285 
660,2.35828880,-9.5103670,-1.94828160,0.0097738440,0.0305432620,-0.015577064 
670,2.0877440,-9.6839480,-1.81959330,-0.0299323960,-0.0171042270,-0.01740966 
680,2.20505980,-9.5157550,-2.06559750,0.0091629780,-0.0555887370,-0.005497787 
690,2.27808280,-9.5666310,-1.99796130,-0.0073303830,-0.01435533350,-0.02443461 
700,2.46423220,-9.517550,-1.9051860,0.0201585530,0.00335975880,-0.03176499 
710,2.49954650,-9.5067770,-1.99077870,0.046425760,-0.0039706240,-0.014660766 
720,2.18291330,-9.480440,-2.00873520,0.0235183130,0.11331550,-0.040011674 
730,2.18710330,-9.5319160,-1.95366860,0.0180205260,0.0082466810,-0.020158553 
740,2.55102180,-9.4636810,-1.91835420,0.0390953760,0.00274889360,-0.007330383 
750,2.05302790,-9.5055790,-2.06021050,0.061697390,0.0733038260,-0.05497787 
760,1.62326870,-9.112930,-1.83575420,0.0702495050,0.091018920,-0.022907447 
770,1.99257430,-9.9868140,-2.0584150,-0.438601260,0.192422550,0.011911872 
780,1.91835420,-10.017340,-2.11886860,-0.034819320,-0.107206850,-0.14813483 
790,1.68731370,-9.7461970,-2.6946740,-0.0387899430,0.237932010,-0.2489276 
800,1.43173270,-10.5099470,-2.58753350,0.55038960,-0.076969020,-0.4615087 
810,1.52450790,-8.650250,-2.91613770,0.97555180,-0.209221350,-0.6612616 
820,5.30495260,-8.2468280,-1.75135850,0.61789020,-0.181121540,-0.87017757 
830,5.5569420,-6.97191520,-0.425569360,-0.452040280,2.50179860,-0.9978484 
840,7.39688630,-14.1275850,-3.05320570,-0.866206940,3.78614280,-0.89369583 
850,-4.41670370,-8.3575590,-15.3899290,0.313068450,-0.523206060,-0.086132 
860,1.750760,-2.12664960,-6.04116960,-0.795346560,-5.88263230,1.8084666 
870,-8.5574750,-18.9207780,-8.5179710,-2.81181260,-5.3450710,4.0039163 
880,9.1302880,3.06278250,-0.509964940,1.33229710,-0.81703230,0.21685717 
