time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro 
0,3.0292637,-2.6162639,5.8161144,0.92271197,-0.13103059,-0.03604105 
10,4.70700070,0.013168110,6.42304470,0.189979090,-0.043371430,-0.058337633 
20,4.29400060,-1.93271930,7.4663180,0.648738860,-0.99509950,0.116675265 
30,4.1072530,-2.6533740,7.83083530,0.50121490,-0.810312750,0.45448375 
40,6.76242260,-2.0236990,8.5694470,0.42027530,-0.792292240,0.77366084 
50,5.3977280,-1.86628020,6.25844340,0.187841060,-0.47006080,0.6087272 
60,4.33170940,-2.8359320,5.1110220,-0.21258110,-0.246484130,0.0021380284 
70,7.65486150,-2.0051440,6.03638120,-0.987463650,-1.23669670,0.3885103 
80,7.38671060,-3.55778380,5.3312890,-1.04549590,-1.43553330,0.643852 
90,9.6043410,-5.0631380,2.7533320,-0.60781090,-1.78006140,1.2727377 
100,9.8138330,-5.2031990,0.21248540,0.824362640,-4.7335950,1.2589933 
110,6.5774710,-4.5376110,-15.4036950,4.12059160,-8.0499820,-0.095294975 
120,6.83843850,-6.78696350,-1.93631060,2.1322250,-4.59492830,-0.25992316 
130,8.2121110,-5.94001440,-5.4635680,3.56928560,-3.5857790,-0.8008443 
140,3.09749840,-8.6544410,-3.42430690,-0.391870050,-0.968832250,-0.21533 
150,4.97993950,-8.1408840,-4.4831430,-0.51557030,-2.30387830,-0.1160644 
160,1.29047480,-6.3595980,-4.6303860,-1.04671760,-4.2861360,-1.8329011 
170,-0.41419690,-4.99011470,-12.6623340,-0.18264870,-1.76662230,-1.4969252 
180,6.04895070,-4.04560230,-5.9896940,0.74617190,-2.1279490,-0.6750061 
190,3.75769950,-7.92660330,-2.2726960,1.3872750,0.361021370,-0.37751472 
200,3.7810430,-9.4906160,-4.94941330,2.11909150,0.50029860,-0.21410827 
210,2.59651180,-10.2591540,-3.76967050,1.4346170,0.28466320,-0.19333886 
220,3.57035330,-9.4134030,-4.38617750,-0.083688540,-0.297185930,0.3857614 
230,4.80157140,-8.2923170,-3.99592260,0.164933620,-0.66584310,0.9807441 
240,1.88902510,-7.93438430,-5.0314150,0.161573860,-0.0763581540,0.4718934 
250,1.00676180,-6.34822560,-0.79906480,3.8548650,0.279776280,-0.7360926 
260,4.3227310,-12.4666080,-1.70646730,-1.20309910,0.849713560,-0.31581733 
270,2.90715930,-8.9908260,-0.63266780,-0.0329867230,0.396756980,-0.0125227375 
280,6.1267620,-15.6299480,-2.64738850,-0.363464830,0.64690630,0.24984388 
290,0.91638070,-8.62990,-1.87944830,0.211970240,-0.56841010,-0.31215215 
300,2.32417130,-9.5636390,-0.7362170,0.078496180,-0.359188770,-0.08124508 
310,1.32399360,-7.5339540,-0.311246220,-0.485027020,-0.183259580,0.408058 
320,-1.7627310,-0.6643910,-3.42011710,0.342695420,0.61697390,0.6826419 
330,-0.32860420,-19.6085110,-1.4233530,-0.458454370,1.19851760,1.4862351 
340,-0.026336220,-10.9349170,-2.25713370,-0.529314760,-0.385455970,-0.16707164 
350,0.21847090,-10.6254670,-1.57418760,0.0082466810,0.0109955740,0.05100725 
360,-0.271143350,-9.8922420,-1.51193830,-0.036346480,-0.021074850,-0.01038471 
370,-0.58238960,-9.78630,-1.69389770,-0.072387530,0.0195476880,-0.052839845 
380,-0.415992560,-9.7904890,-2.04285260,-0.0613919570,-0.0965167060,-0.08674286 
390,-0.374692560,-9.6707790,-2.19488430,-0.01069014150,-0.147829380,-0.12003502 
400,-0.402824430,-9.6653920,-2.30202480,0.0253509080,-0.246178690,-0.16584991 
410,0.216675250,-9.5037830,-2.23079750,0.023212880,-0.350636660,-0.17501289 
420,0.396240380,-9.6594070,-2.32476970,-0.00763581550,-0.364686550,-0.14019357 
430,0.387262140,-9.94730950,-2.0302830,-0.0024434610,-0.384539660,-0.13591751 
440,-0.0227449160,-9.7503860,-1.90279190,6.1086525E-40,-0.132252320,-0.071776666 
450,0.83318220,-10.0490630,-2.19907430,-0.09834930,-0.140804440,-0.1142318 
460,0.95648360,-9.3942490,-2.44627550,0.0122173050,-0.228158180,-0.009162978 
470,0.197521640,-9.8377750,-2.42712190,0.0586430650,0.157603230,-0.005497787 
480,0.325611440,-9.484630,-1.74716870,0.113010070,-0.077274460,-0.064751714 
490,0.155024560,-9.472060,-2.25234530,-0.0952949750,-0.186619330,-0.008246681 
500,-0.175973820,-9.6210990,-2.0889410,-0.0400116740,-0.405614530,0.1142318 
510,0.0939724150,-9.8353810,-1.59872820,-0.0079412480,-0.21807890,0.39370266 
520,-1.28029930,-11.5741690,-1.83635270,-0.417831840,0.213191970,0.42821655 
530,-2.98556950,-8.4820590,-1.73819040,-0.13011430,-0.296575070,0.56016344 
540,-0.66319390,-7.5578960,-2.42472770,0.10201450,-0.648433450,-0.05467244 
550,-1.16298340,-9.37330,-1.20188930,0.200058370,-0.58581980,-0.464563 
560,1.74716870,-11.9524540,0.577601130,0.42974370,-0.67714410,-0.6951646 
570,-1.93511350,-8.2671790,-2.56000020,-0.258701440,0.207694190,-1.0445796 
580,0.349553440,-8.9782560,-4.2562920,-0.331699820,-0.65332040,-0.21197024 
590,0.58957220,-9.6432460,-2.89877960,-0.221744090,-0.33780850,0.027488936 
600,0.230441910,-9.815030,-2.96581750,-0.0833831060,-0.429132850,-0.065973446 
610,0.37648820,-9.5612440,-3.18847820,-0.047342060,-0.508850750,-0.106595986 
620,0.262763650,-9.5953620,-3.22498970,0.0534507070,-0.719599250,-0.0720821 
630,0.0065840550,-9.7904890,-3.02926370,0.233045090,-0.92301740,-0.008552114 
640,0.409408480,-9.3798840,-2.83114360,0.302072850,-1.25685520,0.036957346 
650,0.52792150,-9.9544930,-1.06721540,0.208610480,-1.32679930,-0.05955936 
660,0.89243870,-9.6713780,-1.9464860,0.0610865240,-1.12796270,0.01160644 
670,0.56263740,-9.6755680,-1.90279190,0.240375470,-0.45967610,0.119729586 
680,-0.919373450,-9.8527380,-1.05165310,0.041844270,-0.283441480,0.061086524 
