time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro 
0,0.0,0.0,0.0,0.0,0.0,0.0 
10,-5.98730,-7.79312660,-0.74579380,0.00671951750,0.00763581550,-0.082161374 
20,-5.83885960,-7.87871930,-0.68115040,-0.080939640,-0.0409279730,-0.051618114 
30,-5.933430,-7.92480750,-0.58358670,-0.1169806940,-0.067195180,-0.030543262 
40,-6.30333470,-7.4938510,0.0604535940,0.33903020,0.75930550,0.18936823 
50,-5.3270990,-9.1231060,-3.60447070,0.201890960,2.30479450,-0.43004912 
60,-5.23432350,-7.89966870,-2.12186120,0.063835420,-0.21349740,-0.24037547 
70,-6.53497360,-7.5417350,-2.27568860,0.68050390,-0.234572260,-0.8176431 
80,-4.00549940,-9.0644470,-2.11108730,0.28557950,-0.0470366250,-0.9630291 
90,-3.43448230,-8.7346470,-1.94528890,-0.0085521140,-0.1243110750,-0.52564955 
100,-1.47303260,-7.00483560,-3.15615630,-0.42516220,0.0155770640,-1.4104879 
110,-2.0434510,-13.8187330,-1.4832080,-0.869261260,0.226020140,-2.2748623 
120,1.23121820,-11.3533050,-2.5204960,0.3649920,-0.494495420,-0.5842926 
130,0.58957220,-8.9543140,-1.64122520,0.493273680,0.141720740,0.17379116 
140,1.77410340,-9.212290,-2.1673510,0.132252320,1.03511120,-0.49021935 
150,0.209492650,-9.5444850,-1.66636440,0.00,-0.384234250,-0.65393126 
160,1.71963540,-10.132860,-1.15639940,-0.070860370,0.741895850,0.31703907 
170,0.70209960,-11.1043070,-0.605733040,-0.223271250,-0.350942080,-0.26511553 
180,1.92433970,-9.5181480,-2.50373650,-0.068111470,-0.26786440,-0.33505958 
190,2.1715410,-9.4086140,-2.1715410,-0.0381790770,-0.0369573460,-0.30115658 
200,3.5200750,-8.4341740,-2.609680,-0.062613690,0.154243470,-0.2510656 
210,4.2604820,-10.8008420,-3.8343140,-0.189673660,0.378736470,-0.28985557 
220,2.15597870,-9.7036990,-3.2710780,0.176540060,2.5598310,-0.74372846 
230,2.59950450,-8.8136550,-2.00873520,0.113010070,0.94684110,-0.657291 
240,3.78942280,-8.5921920,-2.3086090,0.290771840,0.617584760,-0.62980205 
250,1.95785840,-8.4126260,-5.008670,-0.0445931630,1.04335780,-0.06414085 
260,-1.24498490,-5.91726970,-3.70682290,-0.5711590,-1.27334860,0.99173975 
270,9.8138330,-17.614740,-2.69168110,-1.33748950,-0.67897670,2.7207937 
280,0.592564940,-7.12634130,-2.44986680,-0.775493440,-2.77974220,0.5815437 
290,3.88818360,-8.4114290,-2.57675960,-0.60964350,-0.77885320,-0.04520403 
300,-1.00795890,-9.4193880,-3.07834480,0.297185930,0.61330870,-0.8579602 
310,-1.40599490,-9.1326830,-7.42082830,-0.118813290,-1.12826810,-0.19822577 
320,1.222240,-18.985420,-8.2959090,0.96699970,-1.25502260,-0.05497787 
330,8.6550390,-16.1279410,-5.43543620,1.09558680,-1.71286620,-0.72051555 
340,3.2339680,-9.84376050,-3.40395620,-0.367130,1.02472640,-1.4563028 
350,2.22720620,-8.6801790,-2.8730420,0.247400420,2.80936930,-1.1053606 
360,3.4177230,-6.82108070,-4.63936420,0.41569380,1.75257240,-0.95447695 
370,2.31339740,-8.5179710,-9.2559830,-0.372016940,1.51097520,-0.12186762 
380,8.373720,-15.9896760,-1.63164840,-0.99601580,-1.7495180,3.238502 
390,-2.13502930,-16.2290950,1.66995570,-2.32281520,-2.12825440,-0.40744713 
400,3.5919010,-4.3454760,-3.0089130,0.0592539270,-1.77822880,0.22479841 
410,3.47278950,-3.2656910,-1.82378320,0.58337630,-0.286190360,-1.1478158 
420,-7.5076180,-14.20420,-14.2927860,-0.011606440,0.35857790,-0.18570304 
430,4.2455180,-7.3142860,1.38624270,-0.280081720,-1.76051370,1.4941764 
440,6.7408750,-14.5435780,-1.50296010,1.13468220,-0.450513120,-1.0543534 
450,7.6207440,-9.067440,-4.81773230,-0.395840670,0.648128030,-0.83016586 
460,1.22583130,-6.98628040,-2.7425580,0.394618960,4.0680570,-1.6038266 
470,2.24695830,-7.68538760,-4.9530050,0.645990,1.90101270,-1.0690142 
480,4.61542220,-9.6761670,-8.9225910,-0.0280998010,1.44469630,-0.032070424 
490,10.1137070,-16.2799720,0.116717330,-1.19912850,-2.56532860,2.4223862 
500,-5.1373580,-15.6431150,2.5204960,-2.07969070,-2.76080540,-0.22235495 
510,2.92930580,-3.27466940,-3.8438910,0.20128010,-1.95018730,0.6814202 
520,2.55102180,-3.51528670,-0.90081840,0.403781920,-0.396451530,-1.255328 
530,-11.4688240,-18.6256920,-17.0275630,0.424551340,-0.256868840,-0.26847526 
540,6.0842650,-9.2936930,1.36888480,-0.25747970,-2.23210170,1.4465289 
550,4.645350,-8.6706020,-5.5359930,0.86712320,-0.826500650,-1.0665708 
560,2.0889410,-7.3825210,-3.69126060,0.1065959860,4.2161920,-2.2385156 
570,2.0464440,-7.3735430,-3.37702160,0.51740290,3.27545950,-1.543351 
580,1.57059630,-6.3955110,-6.41646050,0.187841060,2.62977480,-0.53969944 
590,-1.89620770,-7.1814080,-7.51480050,-0.65759640,0.103541660,-0.13744467 
600,15.1732530,-19.315820,-5.57609560,-1.28159520,-2.74156330,3.9773436 
610,-1.29885450,-10.2866880,2.97539420,-2.11084490,-2.13802840,0.19975294 
620,6.54275470,-2.30142640,-1.45328040,-0.0094684110,-0.733649130,0.22296582 
630,0.79667060,-7.62313840,-1.97641350,0.81672680,0.57574050,-1.7467692 
640,2.26012640,-3.4350810,5.76643470,-1.46790920,1.23150430,0.98899084 
650,10.0400850,-7.60159060,2.07337860,-0.635299860,-1.97431650,0.70188415 
660,5.5114520,-8.3809030,-6.83185430,0.81550510,0.8069530,-0.47861293 
670,0.575206940,-5.7754130,-3.7918170,0.171958570,3.94496770,-2.1838431 
680,3.8702270,-9.1075430,-2.37863950,0.53481250,2.0467040,-0.8729264 
