time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro 
0,-2.4666264,3.0478187,6.8144965,0.27488935,-0.8481864,0.713796 
10,-2.08295540,3.11485650,7.70394230,0.0592539270,0.051007250,-0.13683382 
20,-1.21386030,3.42251130,7.91942070,-0.068416910,-0.0247400420,-0.04428773 
30,-1.96982940,0.511162040,8.7549970,0.126754540,0.087353730,0.4092797 
40,-3.1938650,0.184353530,5.9884970,-3.34967950,4.61020,1.8118263 
50,-7.95473530,-4.0689460,-5.02004240,-2.61236520,3.71864220,0.19058995 
60,-6.35241560,-3.82473730,7.3543890,-2.97827340,-0.149967420,0.47494772 
70,-7.7631990,-7.031770,6.7414730,-1.92300380,0.78832160,-1.0543534 
80,-10.6661680,-5.28101060,4.2509050,-1.61237880,0.775187970,-1.1462886 
90,-6.23390250,-4.87220050,1.79146150,-0.77030110,1.29259090,1.003957 
100,-5.8250930,-2.25114820,1.63404260,0.21441370,0.627969440,0.788627 
110,-7.19876580,-2.5857380,0.20889410,-0.64110310,-0.096211280,0.06414085 
120,-10.7828860,-5.62697270,-4.2227730,0.64629540,0.38117990,-1.0677924 
130,-12.8377090,-6.3117140,0.963067650,-0.352774680,-0.448069660,0.90194255 
140,-6.2291140,-3.4069490,2.3445220,-0.038484510,0.196393180,0.58032197 
150,-8.67120,-4.1270050,-0.443525850,0.31551190,-0.388204870,0.37812558 
160,-10.0017780,-2.6294320,-0.21368250,0.0445931630,0.752280530,0.67164636 
170,-2.02429750,-0.536899750,1.73160640,-0.73670350,0.98776910,-1.0870347 
180,-7.28435850,-4.53820940,1.11330380,-0.240375470,-0.74922620,-1.4883732 
190,-3.61763880,-3.11725070,-3.1417910,1.63956240,1.34451440,-1.8823812 
200,-5.47613760,-10.3237980,-0.570418540,0.790459630,-0.191506250,-1.7718146 
210,-4.4226890,-8.4036480,-0.7122750,0.474947720,-0.58673610,-0.70829827 
220,-6.09863040,-9.9832230,1.8225860,-0.155770640,-0.0760527250,0.8753699 
230,-4.8332950,-9.1117330,-0.585382340,-0.179899810,0.034819320,-0.7641924 
240,-3.54820680,-7.05152270,-0.494402650,-0.12553280,-0.047342060,0.036957346 
250,-4.29220530,-9.9377330,-0.49739540,-1.11757790,0.35491270,-0.7965683 
260,-1.64002810,-9.3619270,-0.50816930,0.081245080,-1.21440,-1.6270396 
270,-1.27431380,-15.2510650,-0.0760159050,-0.733649130,-2.08152340,-0.53786683 
280,-1.15759650,-12.3085910,-0.431554850,-0.131946890,-0.405614530,-0.50976706 
290,-3.73016620,-5.66408250,1.3712790,0.273667630,-1.34879040,0.30604348 
300,-1.23600660,-10.5380780,-1.81061510,0.067195180,-0.169209670,-0.11178834 
310,-0.453701230,-9.81981850,-1.21625450,-0.0146607660,0.160352130,-0.21533 
320,-1.00496610,-9.92336750,-0.90321260,-0.071471240,0.063835420,-0.18967366 
330,-0.592564940,-9.7964740,-0.53630120,-0.0177150930,0.0342084540,-0.13805555 
340,-0.38127660,-9.8264030,-0.784101070,-0.0424551330,-0.0467311930,-0.1328632 
350,0.0790086540,-9.8246070,-1.27251820,0.0094684110,0.031459560,-0.14080444 
360,0.0945709650,-9.938930,-1.10791680,-0.0528398450,0.074525560,-0.11942416 
370,-0.188543380,-9.9245640,-1.23121820,0.0274889360,0.00610865230,-0.116675265 
380,0.472854820,-9.8078470,-1.01753570,0.153021740,-0.1123992060,-0.15974127 
390,0.274734650,-9.691130,-0.854730,0.19944750,-0.0445931630,-0.09743301 
400,0.33578680,-9.7378170,-0.58059390,0.127059970,-0.0659734460,-0.044898596 
410,0.475249050,-9.9987850,-0.445321530,0.195171450,-0.075747290,-0.0421497 
420,0.753574970,-9.8383730,-0.302267970,0.191200820,0.069944070,-0.0852157 
430,0.60154320,-9.8736880,-0.207098450,0.238848310,0.065362580,-0.093767814 
440,0.448314280,-9.7509850,0.387262140,0.39156460,0.126143680,-0.05009095 
450,0.60633160,-9.9030170,0.83797060,0.60872720,0.17409660,0.07544186 
460,-0.204704240,-9.2278520,2.035670,0.76846850,-0.043371430,0.09865474 
470,0.238223080,-9.55705450,1.79146150,0.291688140,-0.28557950,0.33475417 
480,0.298676670,-8.7041210,2.444480,0.332616120,-0.55497110,0.48288897 
490,-0.408809930,-8.5257520,2.09193370,-0.24526240,-0.430660,0.31642818 
500,-0.162207170,-8.8717150,1.04267490,-1.13010070,-0.242513510,0.32803464 
510,2.71023630,-9.2948890,2.32417130,-0.212275670,-0.53481250,-0.4279111 
520,-1.04866040,-9.6199030,1.22463420,-0.60322940,0.133474050,-0.005192355 
530,0.407612830,-9.6570130,-0.28730420,-0.496633440,-0.53420170,0.055283304 
540,-0.5991490,-9.9407250,-0.90560680,-0.351247520,-0.342695420,0.032375857 
550,-0.07960720,-9.8293950,-0.976235750,-0.245873260,-0.244651530,0.08460484 
560,-0.454898330,-9.9784350,-1.12467620,-0.102930790,-0.368962620,0.0870483 
570,-0.893037260,-9.7204590,-1.38504560,0.07116580,-0.423940480,0.07391469 
580,-1.24199210,-10.03410,-0.69132570,-0.039706240,-0.432187170,0.00580322 
590,-1.11090960,-9.748590,-0.942118350,0.075136420,-0.335670440,0.0125227375 
600,-0.50218380,-9.5696240,-0.949300940,-0.0277943690,-0.337503050,6.1086525E-4 
610,-0.621295330,-9.6342680,-1.02830960,0.0354301850,-0.096822140,0.020463986 
620,-1.01514150,-9.9520980,-0.77811560,0.0113010070,-0.236099420,-0.022602014 
630,-0.257975220,-9.7910880,-0.93553430,0.067806040,0.01435533350,0.009773844 
640,-0.73980830,-9.76415350,-0.53031570,0.14141530,-0.0748309940,-0.014966198 
650,-1.02651390,-9.8126350,-0.560841740,0.193949710,-0.36315940,-0.020158553 
660,-0.52433020,-9.8252050,-0.19213470,0.0760527250,-0.140193570,0.02076942 
670,-1.0917560,-9.6623990,-0.120308640,0.126754540,0.177150920,-0.028099801 
680,-0.896030,-9.5121630,0.26934770,0.103541660,0.225409270,-0.103847094 
690,-1.24678050,-9.6737720,0.14125790,0.0345138870,0.316122770,-0.24190263 
700,-0.891840160,-9.996390,0.313640420,0.13286320,0.518930,-0.3136793 
710,-1.16477920,-9.9850180,-0.754772070,0.0400116740,0.44745880,-0.22449298 
720,0.266354950,-10.05085850,0.42137950,0.195476870,0.065057150,-0.28802297 
730,1.08217920,-9.8305920,0.547673640,0.221438650,0.215635430,-0.20219639 
740,0.553659140,-9.856330,0.415992560,0.397062420,0.34361170,-0.16432275 
750,0.74938510,-9.5169520,1.36888480,0.398589580,0.53236910,-0.06536258 
760,0.355538960,-9.4157960,1.62745860,0.234572260,0.244040670,-0.13622294 
770,0.57939680,-9.2769330,1.65738620,-0.0039706240,0.25931230,-0.11178834 
780,0.51774610,-9.3355910,2.08295540,0.019853120,0.19578230,-0.061391957 
790,0.54827220,-9.5229370,2.09612370,0.09834930,-0.023212880,-0.13316862 
800,-0.27533320,-8.8423850,2.10210920,0.0864374340,-0.076969020,0.093462385 
810,1.06601830,-9.4810390,1.3233950,-0.309708680,0.09834930,-0.031154128 
820,1.22702840,-9.4822360,0.940921250,-0.0054977870,0.0565050360,-0.07819075 
830,0.311844770,-9.7533790,1.93092370,0.0791070460,0.0271835030,-0.07788532 
840,0.562038840,-9.4373450,1.53588040,0.20036380,0.154854340,-0.08827003 
850,0.402824430,-9.5390980,2.0865470,0.167377080,0.0345138870,-0.005497787 
860,1.39222820,-8.9351610,0.93314010,0.0219911490,-0.0183259570,0.27977628 
870,0.26695350,-9.4008330,2.25833080,0.289855570,-0.0400116740,-0.007330383 
880,0.199317290,-9.3972420,2.3816320,-0.0952949750,0.0436768640,0.03145956 
890,0.463876580,-9.4744550,1.89920040,0.039706240,0.07299840,0.10476339 
900,0.462080930,-8.2605940,2.1128830,-0.152105450,-0.31917710,0.19547687 
910,1.41856460,-9.4541040,2.67611890,-0.297491370,0.0064140850,-0.035430185 
920,-1.85670340,-10.8463330,0.482431650,-0.495717140,0.078190750,-0.3585779 
930,0.41778820,-10.2621470,0.69910690,-0.62644230,0.347887750,0.20677789 
940,-0.49380410,-10.0777930,-0.37888240,-0.08521570,-0.131336030,0.09621128 
950,0.137068050,-9.87548350,-0.418386760,-0.558330830,-0.158214090,0.26847526 
960,-0.42377370,-9.8120370,-0.50218380,-0.33872480,-0.309708680,0.1160644 
970,-1.14861820,-9.8012630,-0.83916770,-0.201890960,-0.179594380,0.15393804 
980,-0.949300940,-9.6546180,-1.06482120,-0.083993970,-0.031459560,0.12461651 
990,-1.60650930,-9.5780040,-1.53049340,-0.106290550,-0.080328780,0.054367006 
1000,-0.82839380,-9.7120790,-1.69270060,0.149967420,-0.1023199260,-0.14813483 
1010,-0.63625910,-9.6354650,-1.30962840,-0.0155770640,-0.296575070,-0.016493361 
1020,-1.02471830,-9.885060,-0.205901340,0.0565050360,-0.74922620,-0.1853976 
1030,0.27054480,-9.7072910,-0.451307030,0.253814520,-0.24342980,0.01282817 
1040,-1.26593410,-9.9251630,-0.0305260720,0.32681290,-0.60811630,-0.08155051 
1050,-0.07242460,-8.8513640,-0.097563720,0.166155350,-0.541532040,0.08735373 
1060,-0.231040460,-9.5863840,0.37888240,-0.302072850,-0.368351760,-0.044898596 
1070,-0.784101070,-9.85154150,0.57700260,0.088575460,-0.074220130,-0.06169739 
1080,-0.758363370,-9.6109240,0.447117180,0.005803220,-0.204334420,-0.10445796 
1090,-0.761954670,-9.5744120,0.305260720,0.0461203270,-0.0525344130,-0.16737708 
1100,0.0227449160,-9.9287550,0.0347159240,-0.086742860,0.27611110,-0.12705997 
1110,-0.313640420,-9.9341410,-0.37289690,0.060475660,-0.0366519130,-0.12186762 
1120,0.178368030,-9.769540,0.0305260720,0.104152520,-0.36438110,-0.09040806 
1130,0.247201320,-9.8545340,0.221463650,0.263282920,-0.38209620,-0.12736541 
1140,0.402824430,-9.8293950,0.659004030,0.317039070,-0.43737950,-0.06719518 
1150,0.71646490,-9.3379850,1.10252990,0.53084190,-0.66492680,-0.0027488936 
1160,0.84994160,-9.78630,1.72322670,0.60445120,-0.54489180,-0.036957346 
1170,0.277128850,-9.77193450,1.74297880,0.093156950,-0.108428580,0.10751228 
1180,0.792480770,-9.3948480,2.11348150,0.282219740,-0.08429940,-0.030543262 
1190,0.850540160,-9.5049810,2.4923640,0.201890960,-0.174402030,0.16676621 
1200,1.13185880,-8.1905640,2.42293210,0.0528398450,-0.210443080,0.10842858 
1210,0.0502782350,-9.3074590,2.74734640,-0.282525180,-0.17318030,0.034208454 
1220,0.410605580,-10.0484650,2.47979450,-0.789543330,0.397062420,0.6640105 
1230,1.05165310,-9.3930520,2.10510180,0.100487340,-0.211359380,-0.01160644 
1240,0.392050530,-8.8794960,1.37906010,0.249233020,-0.358272460,-0.47861293 
1250,1.01873280,-8.3809030,1.85790050,-0.21716260,-0.067806040,-0.1695151 
1260,0.199915840,-10.7739080,2.7108350,-0.302989160,0.352774680,-0.16279559 
1270,0.56742580,-9.468470,0.70868370,-0.76235980,0.56260690,0.26419923 
1280,0.586579440,-9.8814690,0.4926070,-0.383317950,0.169209670,-0.043676864 
1290,0.230441910,-9.7994670,0.014365210,-0.363770250,0.412334050,0.15424347 
1300,-0.336385340,-9.8431620,-0.63266780,-0.255341680,0.496633440,0.1432479 
1310,0.058059390,-9.7952780,-0.547673640,-0.161573860,0.342389970,0.1685988 
1320,-0.60633160,-9.761160,-0.369904160,-0.122173050,0.230907070,0.22571471 
1330,-1.31920520,-9.7629560,-0.944512550,-0.0791070460,0.736398040,0.112399206 
1340,-1.82079040,-9.6725750,-1.24917470,-0.1212567540,0.630718350,0.12767084 
1350,-0.89363580,-9.6905320,-1.10432550,-0.0733038260,0.325285730,0.01282817 
1360,-0.74220250,-9.7306350,-1.78727160,0.069638640,0.439822970,-0.030543262 
1370,-2.28885670,-9.9155860,-1.16298340,0.0113010070,0.307265220,0.101098195 
1380,-1.1276690,-9.5396970,-1.55263980,0.092546080,0.102930790,-0.055588737 
1390,-1.15699790,-9.7426050,-1.37008190,0.0277943690,-0.0485637860,-0.18661933 
1400,-1.84353530,-9.8012630,-0.857722760,0.0241291770,0.011606440,-0.15210545 
1410,-1.55623110,-9.4702640,-1.10193130,0.0390953760,0.0045814890,-0.2452624 
1420,-2.04105690,-10.0771950,-1.626860,0.093156950,-0.24068090,-0.40500367 
1430,0.897825660,-9.468470,-0.480037450,0.55436020,-0.113620940,-0.3820962 
1440,0.654215630,-10.2777090,-0.348356340,0.62644230,0.0620028230,-0.31703907 
1450,1.19051680,-10.0424790,0.250194070,0.493579120,0.61330870,-0.34300083 
1460,1.50655140,-9.6007490,1.60650930,0.271529610,0.231517930,-0.28221974 
1470,1.6388310,-9.3248170,1.54665430,0.272140470,0.70799280,-0.21013765 
1480,0.71586630,-9.3266120,1.58077170,0.067806040,0.663399640,-0.115453534 
1490,-0.378283860,-10.3782650,0.468066420,-0.485637870,0.60109140,0.55741453 
1500,1.52211370,-10.0927570,2.74495220,-0.29504790,0.57054810,-0.29260445 
1510,-0.900219860,-10.0065660,1.61189630,0.58765240,-0.128892570,-0.42546764 
1520,1.52151510,-8.6424690,1.14023850,-0.0280998010,0.250454750,0.08399397 
1530,1.48260940,-9.4050230,1.10791680,0.275805650,-0.462119550,-0.59681535 
1540,0.825999560,-9.096170,1.41557180,-0.150883720,0.186008470,-0.1685988 
1550,1.53528190,-9.5396970,1.49577750,-0.191506250,-0.0586430650,-0.0143553335 
1560,1.64780930,-9.6905320,0.96606040,-0.278859970,0.216857170,0.17806722 
1570,1.32219790,-9.6306760,0.58837510,-0.364686550,0.105985120,0.21746802 
1580,1.21505740,-10.2429930,-0.32980130,-0.40897430,0.366824570,0.2510656 
1590,0.648230140,-10.1166990,0.053270990,-0.438601260,0.331088960,0.3387248 
1600,0.67755910,-9.5845880,-0.810437260,-0.25076020,0.51190510,0.28863382 
1610,-0.984615450,-10.3100310,-1.1743560,-0.14691310,0.71104720,0.32711834 
1620,-1.59872820,-9.53850,-1.81540350,0.063835420,1.22967170,0.20830505 
1630,-1.7028760,-9.40621950,-0.99359370,0.0045814890,0.85093530,0.10781772 
1640,-1.61249480,-9.736620,-1.07619370,-0.0277943690,0.68813970,0.14110987 
1650,-0.851737260,-8.9136130,-1.1156980,0.21441370,0.871093870,-0.028405234 
1660,-1.18273570,-9.4822360,-1.29825590,0.192727980,0.540615740,-0.017104227 
1670,-1.86268890,-9.6683850,-1.31561390,0.094684120,0.225103840,0.004886922 
1680,-1.68611660,-10.1280720,-0.973841550,0.083993970,0.0161879290,0.006414085 
1690,-2.79343490,-9.2781310,-1.10432550,0.064140850,0.186619330,-0.050396383 
1700,-1.26054720,-9.5450840,-0.551264940,-0.0482583530,-0.161879290,-0.08460484 
1710,-0.866102460,-9.819220,-1.00197340,0.0528398450,-0.63377270,-0.12095132 
1720,-1.87286420,-9.8467530,-0.75417350,0.0332921560,-1.20706980,-0.08307768 
1730,-1.72921220,-9.6462380,-0.69731120,-0.104763390,-1.53327180,-0.044898596 
1740,-1.45687170,-9.5869820,-0.83557640,-0.133168620,-1.10444440,-0.13530666 
1750,-1.34374570,-9.8581260,-0.668580830,-0.151494580,-0.99784840,-0.355829 
1760,0.520738840,-10.2346130,-1.64541510,0.167682510,-0.851546170,-0.16310102 
1770,0.522534550,-9.369110,-1.13485160,0.211664810,-0.634994450,-0.29993483 
1780,0.57580550,-10.0604350,-0.0125695590,0.075747290,-0.88728180,-0.04337143 
1790,1.304840,-9.8425640,0.0305260720,0.429132850,-0.59925880,-0.13103059 
1800,0.844554660,-10.0191350,0.852934360,0.58520890,-0.455705460,-0.16707164 
1810,0.903811160,-9.6133180,1.67833540,0.60414570,-0.32314770,-0.016493361 
1820,1.24977330,-9.6043410,2.01472070,0.421802460,-0.304821760,0.073303826 
1830,0.544082340,-9.3864680,2.20386270,0.495717140,-0.171347710,0.19730948 
1840,0.98880530,-8.4533270,2.33195260,0.274583940,-0.237015710,0.14721853 
1850,0.227449160,-8.57782650,2.39420180,-0.166766210,0.139582710,0.22113322 
1860,0.34416650,-8.57782650,2.30382060,-0.62674770,0.3762930,0.038789943 
1870,-0.338779540,-10.3399580,1.87645550,-0.372016940,0.280998020,-0.18906279 
1880,0.383670840,-9.8605190,1.54605580,0.088575460,-0.036041050,-0.08979719 
1890,-0.126294140,-9.5396970,1.93511350,0.26664270,-0.308792380,0.03023783 
1900,0.026336220,-9.3493580,1.9823990,0.207388740,-0.40897430,0.13225232 
1910,0.64044890,-8.6275060,1.47542680,-0.07116580,-0.202196390,0.015882496 
1920,1.36828630,-9.3529490,1.44430220,-0.58795780,-0.073914690,-0.15607607 
1930,0.14484920,-10.0634280,1.62386730,-0.546113550,0.108734010,-0.15302174 
1940,0.527322950,-9.8473520,0.62069680,-0.491135660,0.180816110,0.103847094 
1950,0.453701230,-9.8569290,-0.0909796660,-0.35552360,0.181732420,0.13836098 
1960,0.0742202550,-10.0442740,-0.71167650,-0.365602850,0.0702495050,0.20097467 
