time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro
0,0.0,0.0,0.0,0.0,0.0,0.0
10,-3.5721490,-8.8352030,1.18572840,0.00305432620,0.0064140850,-0.080634214
20,-3.4841620,-8.8968530,1.14323130,0.00763581550,-0.0167987940,-0.01740966
30,-3.4428620,-8.9788550,1.15520230,-0.00274889360,-0.01252273750,-0.019242255
40,-3.5188780,-8.786720,1.13305590,3.0543262E-40,0.01252273750,-0.03756821
50,-3.3764230,-8.7615810,1.03429510,0.021074850,0.077274460,-0.24770586
60,-2.49296260,-7.31009630,1.00736030,0.0937678140,0.155159770,-0.74097955
70,-1.58615860,-10.141240,0.794874970,0.107206850,0.23121250,-1.6166549
80,-0.747589470,-7.87033940,1.18393280,-0.158824970,-0.156686930,-0.6374379
90,0.71047940,-9.8060510,0.397437480,-0.0259617730,-0.171653140,-1.1108584
100,0.452504130,-15.1463180,0.77931270,-0.072387530,-0.490219350,-1.3967434
110,2.38881470,-11.7938380,1.18872120,-0.0320704240,-0.366824570,-0.6258314
120,1.95127440,-10.0682160,0.975038650,-0.0229074470,0.0427605660,0.27672195
130,2.57017540,-9.4445280,1.03249940,0.324980320,-0.0775798860,-0.026572637
140,3.36145930,-9.9933980,2.6653450,0.65332040,0.0540615730,0.21746802
150,2.53605820,-8.2204910,2.34212780,1.39338360,-0.468228220,-0.09987647
160,2.21463660,-7.53215840,2.07637140,0.31917710,-0.256257980,-0.42394048
170,2.67133050,-7.95473530,4.22217460,-0.209526780,0.0574213340,-0.4596761
180,3.36145930,-8.76098250,4.55137730,-0.135001210,0.651182350,-0.31031954
190,3.08852030,-12.5180840,4.79199460,-0.36621370,0.134084930,0.41263947
200,6.01423450,-11.1821190,3.01789120,-0.896750150,0.328340080,0.10048734
210,1.61728320,-11.1102930,-1.08876320,-1.44011490,2.02074220,0.28924468
220,-1.57777890,-10.5530420,-2.26970310,-1.7516560,2.90252610,-0.3109304
230,0.848145960,-9.0446960,-1.51433250,-1.5207490,2.3347270,-0.18448131
240,-0.861314060,-10.0568450,-1.21924720,-1.1035280,2.23332330,-0.38728857
250,1.20727620,-10.347740,-0.205302790,-0.756862040,1.05099370,-0.5158757
260,-2.99335070,-12.3486940,1.29466460,-0.152410880,0.790459630,-0.26267207
